Open time,Open price,High,Low,Close price,Volume,Close time,Quote asset volume,Trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore."
1722297600000,377400.00000000,377912.00000000,376500.00000000,377021.00000000,1.01846000,1722298499999,384110.65962000,414,0.49747000,187689.92822000,0
1722298500000,377018.00000000,377470.00000000,373087.00000000,375365.00000000,7.16291000,1722299399999,2688211.41579000,1007,2.45907000,922892.69072000,0
1722299400000,375387.00000000,375993.00000000,374779.00000000,375693.00000000,1.04167000,1722300299999,391126.71876000,331,0.53939000,202528.00403000,0
1722300300000,375692.00000000,377121.00000000,375222.00000000,377121.00000000,1.61400000,1722301199999,607536.59956000,341,1.23753000,465986.30053000,0
1722301200000,377120.00000000,378333.00000000,377017.00000000,378186.00000000,1.22919000,1722302099999,464508.45768000,315,0.98387000,371760.33191000,0
1722302100000,378175.00000000,378801.00000000,377837.00000000,377899.00000000,0.72170000,1722302999999,273005.38284000,261,0.27610000,104466.04446000,0
1722303000000,377899.00000000,378152.00000000,375364.00000000,376024.00000000,1.14963000,1722303899999,432673.59997000,349,0.61801000,232513.43879000,0
1722303900000,376021.00000000,376024.00000000,373933.00000000,374599.00000000,1.00619000,1722304799999,377141.00089000,343,0.45296000,169770.73854000,0
1722304800000,374600.00000000,376151.00000000,374572.00000000,375856.00000000,0.42842000,1722305699999,160934.61498000,177,0.33286000,125049.20792000,0
1722305700000,375912.00000000,376064.00000000,373157.00000000,373502.00000000,1.00035000,1722306599999,374919.18056000,369,0.48957000,183515.97234000,0
1722306600000,373427.00000000,375018.00000000,373427.00000000,374658.00000000,0.38145000,1722307499999,142746.24057000,234,0.26404000,98806.22702000,0
1722307500000,374644.00000000,376095.00000000,374634.00000000,375915.00000000,0.57241000,1722308399999,214938.68839000,191,0.35586000,133677.28017000,0
1722308400000,375916.00000000,377039.00000000,375730.00000000,377039.00000000,0.30123000,1722309299999,113337.03142000,168,0.21432000,80643.52748000,0
1722309300000,377039.00000000,377290.00000000,376427.00000000,376780.00000000,0.70218000,1722310199999,264580.33037000,152,0.10187000,38392.01714000,0
1722310200000,376878.00000000,377102.00000000,376354.00000000,376746.00000000,0.25823000,1722311099999,97292.54300000,135,0.11616000,43770.20652000,0
1722311100000,376725.00000000,376889.00000000,376354.00000000,376889.00000000,0.07290000,1722311999999,27450.69424000,70,0.02619000,9864.98936000,0
1722312000000,376867.00000000,377016.00000000,376487.00000000,377016.00000000,0.26251000,1722312899999,98871.51233000,77,0.18067000,68048.53369000,0
1722312900000,377102.00000000,377832.00000000,377102.00000000,377832.00000000,0.11324000,1722313799999,42739.51019000,66,0.08392000,31668.09997000,0
1722313800000,377803.00000000,377828.00000000,377071.00000000,377513.00000000,0.12535000,1722314699999,47315.15361000,97,0.05990000,22607.37033000,0
1722314700000,377334.00000000,378101.00000000,376962.00000000,378101.00000000,0.16416000,1722315599999,62006.04281000,43,0.15441000,58327.75093000,0
1722315600000,378100.00000000,378100.00000000,377273.00000000,377288.00000000,0.05208000,1722316499999,19665.05332000,49,0.02292000,8662.34632000,0
1722316500000,377186.00000000,377186.00000000,375800.00000000,376044.00000000,0.39530000,1722317399999,148730.73500000,98,0.20670000,77779.73041000,0
1722317400000,376019.00000000,376711.00000000,375259.00000000,376702.00000000,0.13372000,1722318299999,50235.01913000,74,0.06709000,25214.20112000,0
1722318300000,376725.00000000,377337.00000000,376282.00000000,376289.00000000,0.35124000,1722319199999,132318.66016000,70,0.04320000,16262.46807000,0
1722319200000,376261.00000000,376912.00000000,376198.00000000,376912.00000000,0.09109000,1722320099999,34297.91214000,37,0.08152000,30693.23408000,0
1722320100000,376854.00000000,377289.00000000,376726.00000000,377140.00000000,0.53959000,1722320999999,203443.14507000,59,0.14298000,53894.78883000,0
1722321000000,377290.00000000,377506.00000000,376957.00000000,377114.00000000,0.23849000,1722321899999,89968.31660000,57,0.11836000,44645.94234000,0
1722321900000,377289.00000000,377604.00000000,377289.00000000,377604.00000000,0.00051000,1722322799999,192.50768000,6,0.00051000,192.50768000,0
1722322800000,377651.00000000,378234.00000000,377651.00000000,378088.00000000,0.32694000,1722323699999,123577.84893000,38,0.20053000,75784.52963000,0
1722323700000,378235.00000000,378669.00000000,378045.00000000,378586.00000000,0.25048000,1722324599999,94743.47937000,61,0.16993000,64284.97628000,0
1722324600000,378613.00000000,379181.00000000,378528.00000000,378915.00000000,0.22485000,1722325499999,85235.13051000,45,0.13379000,50715.56305000,0
1722325500000,378979.00000000,379000.00000000,378601.00000000,378638.00000000,0.06960000,1722326399999,26364.60916000,38,0.03578000,13556.55262000,0
1722326400000,378669.00000000,378791.00000000,378156.00000000,378613.00000000,0.08155000,1722327299999,30864.44382000,33,0.02881000,10897.07586000,0
1722327300000,378740.00000000,378802.00000000,377910.00000000,377925.00000000,0.12581000,1722328199999,47568.94737000,49,0.07609000,28766.03318000,0
1722328200000,377858.00000000,378379.00000000,377858.00000000,378120.00000000,0.27278000,1722329099999,103137.28912000,65,0.23649000,89419.09542000,0
1722329100000,377923.00000000,378324.00000000,377364.00000000,377799.00000000,0.39992000,1722329999999,151142.70509000,94,0.12436000,47007.49549000,0
1722330000000,377834.00000000,378538.00000000,377706.00000000,378537.00000000,0.24874000,1722330899999,94018.15335000,84,0.15622000,59052.32056000,0
1722330900000,378427.00000000,378490.00000000,378109.00000000,378343.00000000,0.33764000,1722331799999,127737.18733000,72,0.32191000,121789.28490000,0
1722331800000,378281.00000000,378470.00000000,377304.00000000,377610.00000000,0.57369000,1722332699999,216718.08058000,137,0.30048000,113498.78624000,0
1722332700000,377600.00000000,377607.00000000,376369.00000000,377326.00000000,0.52964000,1722333599999,199693.89830000,166,0.35881000,135269.87099000,0
1722333600000,377175.00000000,377499.00000000,376176.00000000,376531.00000000,0.77908000,1722334499999,293575.28405000,224,0.25555000,96316.04346000,0
1722334500000,376531.00000000,377252.00000000,376386.00000000,377252.00000000,0.33151000,1722335399999,125004.49016000,154,0.26972000,101721.11599000,0
1722335400000,377252.00000000,377730.00000000,376696.00000000,377407.00000000,0.39847000,1722336299999,150316.55865000,202,0.26135000,98599.36892000,0
1722336300000,377331.00000000,377667.00000000,376822.00000000,376981.00000000,0.66464000,1722337199999,250699.58110000,251,0.17514000,66085.26537000,0
1722337200000,377001.00000000,377618.00000000,376544.00000000,376597.00000000,0.96405000,1722338099999,363558.18590000,308,0.47269000,178329.83621000,0
1722338100000,376548.00000000,377335.00000000,376544.00000000,377247.00000000,0.41032000,1722338999999,154657.38632000,164,0.12394000,46715.19269000,0
1722339000000,377247.00000000,377800.00000000,376913.00000000,377499.00000000,0.35023000,1722339899999,132197.22942000,204,0.24229000,91474.27357000,0
1722339900000,377499.00000000,377583.00000000,377002.00000000,377002.00000000,0.58604000,1722340799999,221084.23509000,253,0.19005000,71716.98825000,0
1722340800000,377137.00000000,377143.00000000,375762.00000000,376914.00000000,2.22853000,1722341699999,838657.78204000,486,0.50163000,188798.18632000,0
1722341700000,376874.00000000,377101.00000000,375208.00000000,375364.00000000,2.37032000,1722342599999,892581.12997000,389,0.20995000,79042.70482000,0
1722342600000,375563.00000000,378841.00000000,375563.00000000,378841.00000000,1.66349000,1722343499999,627172.32308000,351,1.02778000,387245.54519000,0
1722343500000,378834.00000000,379298.00000000,378420.00000000,379061.00000000,2.11156000,1722344399999,800138.18598000,345,1.48357000,562214.00760000,0
1722344400000,378996.00000000,379500.00000000,378518.00000000,378594.00000000,0.87347000,1722345299999,331266.94630000,302,0.19604000,74342.94364000,0
1722345300000,378617.00000000,379219.00000000,377671.00000000,378081.00000000,1.21059000,1722346199999,458319.54878000,347,0.72248000,273508.86267000,0
1722346200000,377907.00000000,379700.00000000,377113.00000000,377666.00000000,1.36953000,1722347099999,517666.97015000,348,0.59404000,224742.98786000,0
1722347100000,377509.00000000,377661.00000000,376662.00000000,376886.00000000,1.19288000,1722347999999,449911.08355000,322,0.59691000,225133.11804000,0
1722348000000,376839.00000000,377480.00000000,375844.00000000,376914.00000000,1.80076000,1722348899999,678071.25827000,464,0.79254000,298491.91264000,0
1722348900000,376997.00000000,377457.00000000,375179.00000000,375527.00000000,1.55633000,1722349799999,585075.18943000,396,0.53799000,202453.84217000,0
1722349800000,375479.00000000,375914.00000000,374143.00000000,374230.00000000,2.65180000,1722350699999,995066.92271000,506,1.34414000,504676.50379000,0
1722350700000,374231.00000000,375023.00000000,372094.00000000,372986.00000000,3.70106000,1722351599999,1383069.07817000,659,1.13807000,425661.69040000,0
1722351600000,372856.00000000,374537.00000000,371723.00000000,373674.00000000,3.71493000,1722352499999,1386090.93818000,522,1.50841000,562929.72750000,0
1722352500000,373678.00000000,376235.00000000,373614.00000000,375989.00000000,2.34394000,1722353399999,878566.78649000,520,1.29648000,486197.97560000,0
1722353400000,375985.00000000,376387.00000000,375003.00000000,375561.00000000,0.92459000,1722354299999,347207.54111000,270,0.56700000,212834.71781000,0
1722354300000,375471.00000000,376683.00000000,375229.00000000,376351.00000000,1.19000000,1722355199999,447454.83003000,342,0.51241000,192690.47455000,0
1722355200000,376349.00000000,376674.00000000,375750.00000000,376573.00000000,0.72095000,1722356099999,271156.39124000,254,0.23841000,89698.86754000,0
1722356100000,376667.00000000,376942.00000000,376257.00000000,376757.00000000,0.39881000,1722356999999,150232.83393000,207,0.16056000,60484.73604000,0
1722357000000,376776.00000000,378043.00000000,376600.00000000,378020.00000000,1.16355000,1722357899999,438613.76353000,313,0.70768000,266816.43129000,0
1722357900000,377892.00000000,378009.00000000,376000.00000000,376075.00000000,1.56847000,1722358799999,590986.93938000,320,0.74799000,282029.34266000,0
1722358800000,376014.00000000,376028.00000000,373977.00000000,374764.00000000,2.47918000,1722359699999,929284.55792000,535,0.92218000,345823.27011000,0
1722359700000,374746.00000000,374746.00000000,372500.00000000,373236.00000000,3.19391000,1722360599999,1193027.81273000,692,1.23395000,461249.32901000,0
1722360600000,373000.00000000,373500.00000000,372101.00000000,373162.00000000,3.61345000,1722361499999,1346705.27983000,595,1.68536000,628208.01309000,0
1722361500000,373164.00000000,373766.00000000,372287.00000000,372784.00000000,1.15772000,1722362399999,431963.58057000,364,0.53750000,200513.39812000,0
1722362400000,372813.00000000,373656.00000000,371046.00000000,373501.00000000,2.65569000,1722363299999,988052.70095000,684,1.11492000,414891.74295000,0
1722363300000,373451.00000000,373815.00000000,372989.00000000,373618.00000000,2.29393000,1722364199999,856541.73363000,417,1.39817000,522147.02455000,0
1722364200000,373612.00000000,373703.00000000,372361.00000000,372465.00000000,1.66657000,1722365099999,621571.88217000,416,0.67054000,250167.68088000,0
1722365100000,372465.00000000,372916.00000000,371500.00000000,372654.00000000,5.95802000,1722365999999,2217522.01720000,753,2.30696000,858670.91047000,0
1722366000000,372620.00000000,373123.00000000,371507.00000000,371674.00000000,1.48122000,1722366899999,551726.34935000,335,0.58000000,215979.50305000,0
1722366900000,371781.00000000,373256.00000000,371309.00000000,372181.00000000,2.01421000,1722367799999,749472.68384000,425,0.61199000,227817.66267000,0
1722367800000,372181.00000000,372815.00000000,371722.00000000,372465.00000000,1.73230000,1722368699999,645211.02954000,303,1.53610000,572161.67021000,0
1722368700000,372465.00000000,373654.00000000,372365.00000000,372977.00000000,1.59103000,1722369599999,593873.80620000,377,0.91532000,341682.79446000,0
1722369600000,373031.00000000,373297.00000000,369323.00000000,371371.00000000,5.75044000,1722370499999,2132887.53147000,938,1.18296000,438985.71323000,0
1722370500000,371169.00000000,373533.00000000,371123.00000000,373238.00000000,2.24978000,1722371399999,839313.54523000,373,1.81614000,677621.12995000,0
1722371400000,373233.00000000,374600.00000000,373233.00000000,373911.00000000,1.08127000,1722372299999,404636.50815000,346,0.67019000,250816.13302000,0
1722372300000,374024.00000000,374415.00000000,373614.00000000,374214.00000000,0.96254000,1722373199999,360044.62349000,263,0.64420000,240976.43390000,0
1722373200000,374098.00000000,374265.00000000,373501.00000000,373886.00000000,0.76820000,1722374099999,287207.67321000,234,0.43995000,164506.80396000,0
1722374100000,373867.00000000,374329.00000000,372977.00000000,374329.00000000,2.13611000,1722374999999,798059.63589000,511,1.26126000,471323.50221000,0
1722375000000,374387.00000000,374695.00000000,374098.00000000,374478.00000000,0.83750000,1722375899999,313479.85051000,278,0.22331000,83605.99622000,0
1722375900000,374478.00000000,375249.00000000,374357.00000000,375156.00000000,0.67475000,1722376799999,252946.96771000,296,0.45397000,170181.12678000,0
1722376800000,375030.00000000,375417.00000000,374513.00000000,375028.00000000,0.76236000,1722377699999,285826.79728000,301,0.47721000,178910.78087000,0
1722377700000,374882.00000000,375500.00000000,374614.00000000,375224.00000000,0.68744000,1722378599999,257892.33190000,293,0.34027000,127648.73121000,0
