Open time,Open price,High,Low,Close price,Volume,Close time,Quote asset volume,Trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore."
1722297600000,18755.11000000,18756.15000000,18588.16000000,18709.47000000,35.67960000,1722299399999,666731.81044800,342,15.56590000,291032.51992100,0
1722299400000,18718.01000000,18849.87000000,18700.00000000,18839.83000000,42.85610000,1722301199999,805302.33172200,203,29.05260000,546184.01453400,0
1722301200000,18839.83000000,18900.00000000,18832.47000000,18850.14000000,12.50730000,1722302999999,236062.13129400,115,8.77060000,165571.98710200,0
1722303000000,18853.38000000,18856.19000000,18654.52000000,18663.36000000,19.58690000,1722304799999,367348.07621100,171,6.96370000,130755.36054100,0
1722304800000,18672.13000000,18766.30000000,18588.15000000,18594.59000000,15.03110000,1722306599999,280778.87695400,123,4.27280000,79910.25920800,0
1722306600000,18654.59000000,18744.04000000,18636.73000000,18737.83000000,7.34870000,1722308399999,137329.58329800,91,2.99820000,56016.60540600,0
1722308400000,18746.80000000,18785.87000000,18746.80000000,18764.59000000,1.20650000,1722310199999,22640.65475400,36,0.57320000,10758.49443400,0
1722310200000,18764.59000000,18804.62000000,18760.08000000,18792.61000000,0.54060000,1722311999999,10156.44990500,22,0.27510000,5169.19990900,0
1722312000000,18778.65000000,18785.63000000,18748.00000000,18782.11000000,3.13640000,1722313799999,58851.28344900,31,0.82470000,15488.59751300,0
1722313800000,18781.74000000,18781.74000000,18732.60000000,18761.52000000,5.08310000,1722315599999,95271.21205100,29,2.04760000,38385.92996400,0
1722315600000,18771.89000000,18774.31000000,18677.50000000,18686.91000000,1.51720000,1722317399999,28406.34483700,25,0.01250000,234.47416800,0
1722317400000,18672.13000000,18753.35000000,18664.55000000,18730.42000000,2.10130000,1722319199999,39299.62980100,26,1.12910000,21099.67853000,0
1722319200000,18734.32000000,18781.60000000,18734.32000000,18781.60000000,0.34140000,1722320999999,6405.27748800,16,0.18940000,3554.20945500,0
1722321000000,18794.66000000,18829.46000000,18785.20000000,18829.46000000,6.15500000,1722322799999,115703.04134300,27,1.73630000,32659.61931600,0
1722322800000,18836.46000000,18950.47000000,18836.46000000,18897.36000000,17.80650000,1722324599999,336279.36341000,127,11.22160000,212008.35840100,0
1722324600000,18915.70000000,18937.03000000,18890.00000000,18891.38000000,3.30840000,1722326399999,62558.68034100,31,1.04010000,19669.82683900,0
1722326400000,18899.82000000,18970.28000000,18893.09000000,18930.56000000,10.03900000,1722328199999,190140.28092500,60,3.93660000,74553.15436300,0
1722328200000,18902.37000000,18915.49000000,18891.50000000,18891.50000000,0.62500000,1722329999999,11820.77529900,11,0.55460000,10489.76799100,0
1722330000000,18873.03000000,18918.37000000,18873.03000000,18906.68000000,18.03390000,1722331799999,340845.05878500,41,15.86850000,299910.21360800,0
1722331800000,18889.63000000,18893.40000000,18855.14000000,18887.80000000,23.98870000,1722333599999,452790.62027800,100,16.84930000,318003.43476300,0
1722333600000,18900.96000000,18902.98000000,18846.35000000,18878.79000000,3.54240000,1722335399999,66912.78256300,36,2.09410000,39566.47861000,0
1722335400000,18897.26000000,18932.31000000,18870.00000000,18884.19000000,1.87750000,1722337199999,35469.86195300,36,0.82100000,15504.59129700,0
1722337200000,18886.21000000,18919.23000000,18861.54000000,18878.18000000,6.91640000,1722338999999,130601.94497900,80,2.83330000,53531.19016900,0
1722339000000,18878.60000000,18921.37000000,18856.41000000,18878.47000000,14.20200000,1722340799999,268483.35743900,107,2.53460000,47908.29232900,0
1722340800000,18876.60000000,18915.27000000,18835.09000000,18848.19000000,31.30150000,1722342599999,590643.77614400,269,8.73780000,164929.99221000,0
1722342600000,18850.12000000,19073.15000000,18848.22000000,19068.60000000,32.32820000,1722344399999,614689.05821900,350,17.50110000,332871.85461000,0
1722344400000,19068.67000000,19090.73000000,18987.85000000,18990.41000000,31.95420000,1722346199999,608482.90576000,262,20.77700000,395538.95672500,0
1722346200000,18984.51000000,19041.52000000,18901.18000000,18901.18000000,20.48670000,1722347999999,388302.86998100,189,6.48000000,122879.64432500,0
1722348000000,18902.75000000,18938.86000000,18807.29000000,18855.98000000,29.39030000,1722349799999,555199.49444400,233,13.43300000,253841.73342300,0
1722349800000,18863.33000000,18900.01000000,18662.82000000,18695.65000000,52.81500000,1722351599999,992556.79092100,343,25.33450000,476455.25283800,0
1722351600000,18684.47000000,18860.54000000,18653.58000000,18859.51000000,26.87930000,1722353399999,504784.37546800,222,14.08750000,264588.60217300,0
1722353400000,18858.34000000,18884.51000000,18819.32000000,18880.79000000,9.65260000,1722355199999,181959.85070700,137,5.10450000,96234.39457400,0
1722355200000,18878.96000000,18901.60000000,18839.64000000,18839.64000000,3.96340000,1722356999999,74822.72315200,98,1.75950000,33213.59514000,0
1722357000000,18839.57000000,18899.70000000,18792.58000000,18809.10000000,11.21360000,1722358799999,211166.38248300,164,4.01400000,75652.42741800,0
1722358800000,18801.40000000,18801.40000000,18625.00000000,18663.78000000,53.32460000,1722360599999,997590.67294900,530,19.63110000,367149.59016400,0
1722360600000,18669.75000000,18703.86000000,18625.00000000,18647.89000000,17.52270000,1722362399999,326986.13281700,179,8.17220000,152543.18922900,0
1722362400000,18644.30000000,18662.81000000,18547.29000000,18627.32000000,35.57250000,1722364199999,661767.63392200,262,19.09850000,355434.25984400,0
1722364200000,18633.51000000,18638.68000000,18550.18000000,18594.82000000,25.67940000,1722365999999,477561.26513700,220,11.17540000,207826.81671900,0
1722366000000,18588.78000000,18616.27000000,18456.16000000,18489.46000000,36.70290000,1722367799999,680561.46592800,315,14.02950000,260124.43878500,0
1722367800000,18491.82000000,18552.05000000,18488.11000000,18516.61000000,19.96970000,1722369599999,369888.72922700,178,8.52410000,157920.20342200,0
1722369600000,18521.78000000,18536.11000000,18289.87000000,18441.08000000,53.22050000,1722371399999,978511.86428000,417,25.35930000,466482.61344700,0
1722371400000,18444.92000000,18568.87000000,18444.92000000,18561.23000000,20.49160000,1722373199999,379415.03775000,133,13.78600000,255190.45160400,0
1722373200000,18546.77000000,18551.15000000,18468.45000000,18531.69000000,21.70190000,1722374999999,401841.45648800,217,12.25090000,226887.87823700,0
1722375000000,18529.11000000,18590.56000000,18518.86000000,18561.31000000,7.08350000,1722376799999,131429.34966900,106,2.82570000,52481.57361200,0
1722376800000,18561.76000000,18597.35000000,18511.15000000,18590.92000000,20.64320000,1722378599999,382862.14493500,191,12.83430000,238074.43884200,0
