Open time,Open price,High,Low,Close price,Close time,Volume,Quote volume,Number of trades,Taker buy base volume,Taker buy quote volume
1722296700000,378133.38210000,378737.01440000,377600.00000000,377600.00100000,1722297600000,0.44089839,166661.51647242,127,0.07650978,28949.39671323
1722297600000,377600.00100000,378298.99990000,376572.60000000,377356.99990000,1722298500000,0.25722858,97030.40523391,145,0.08383476,31661.92574126
1722298500000,377356.99990000,377356.99950000,373000.00000000,374696.97860000,1722299400000,1.13582256,425888.00917944,201,0.18543547,69481.82255313
1722299400000,374696.97860000,376086.40990000,374645.47220000,374991.03970000,1722300300000,0.11089120,41639.51091638,131,0.08076784,30346.27761931
1722300300000,374991.03970000,376995.28520000,374779.33920000,376995.28440000,1722301200000,0.10232873,38497.92861983,121,0.07664836,28852.55007179
1722301200000,376995.28440000,378416.32850000,376500.85730000,378313.77860000,1722302100000,0.07922914,29934.36255210,101,0.07101334,26834.78667087
1722302100000,378313.77860000,379149.40720000,377604.81200000,378290.50660000,1722303000000,0.86473800,327535.37539325,102,0.84890624,321549.26328853
1722303000000,378290.50660000,378587.55160000,375800.00010000,376538.49340000,1722303900000,0.28829560,108496.01460704,97,0.02311122,8707.60433294
1722303900000,376538.49340000,376537.58880000,374100.18810000,374974.61320000,1722304800000,0.11816417,44334.64495867,126,0.07783309,29218.22805236
1722304800000,374974.61320000,376509.52740000,374218.01120000,376357.02520000,1722305700000,0.04770595,17919.72996770,71,0.03962178,14890.62780661
1722305700000,376357.02520000,376328.11030000,373877.15380000,373877.15380000,1722306600000,0.13535350,50699.11138983,83,0.10022961,37559.35486085
1722306600000,373877.15380000,374419.33250000,373452.01550000,374419.33250000,1722307500000,0.13239550,49517.68916877,69,0.08520629,31868.70529926
1722307500000,374419.33250000,375972.99990000,374419.33250000,375972.99920000,1722308400000,0.11229375,42122.64031083,54,0.09464683,35504.54794932
1722308400000,375972.99920000,377200.73320000,375551.73090000,377197.46180000,1722309300000,0.07742396,29157.66296590,58,0.07178645,27037.65431496
1722309300000,377197.46180000,377707.79750000,375940.43240000,376168.19550000,1722310200000,0.01554129,5860.63303055,47,0.01487431,5609.55547613
1722310200000,376168.19550000,377476.60260000,375940.45520000,377375.77430000,1722311100000,0.12572855,47424.01078331,49,0.10735007,40496.28758628
1722311100000,377375.77430000,377330.31140000,376607.78760000,376871.51840000,1722312000000,0.08455580,31878.31477192,41,0.04134475,15595.99739088
1722312000000,376871.51840000,377399.26350000,376036.00380000,376871.51840000,1722312900000,0.01118545,4213.16141999,26,0.00073065,275.43261989
1722312900000,376871.51840000,377915.99400000,376645.46390000,377915.99400000,1722313800000,0.01183496,4461.06583732,43,0.00577392,2178.08035071
1722313800000,377915.99400000,377915.98780000,376818.01330000,377417.43720000,1722314700000,0.01594593,6019.15482618,28,0.00771576,2914.81161219
1722314700000,377417.43720000,377492.89800000,377191.05470000,377191.05480000,1722315600000,0.01640813,6193.28068583,27,0.01633541,6165.85135232
1722315600000,377191.05480000,378454.92180000,377191.06350000,377911.35060000,1722316500000,0.02759542,10430.02789613,28,0.02753463,10407.09827095
1722316500000,377911.35060000,377842.29450000,375800.00040000,376394.93150000,1722317400000,0.01023847,3858.38507329,23,0.00096245,362.90799293
1722317400000,376394.93150000,376491.40280000,375800.00010000,375800.00060000,1722318300000,0.00023257,87.48352140,14,0.00013069,49.18327752
1722318300000,375800.00060000,377551.04450000,376394.93150000,377248.24420000,1722319200000,0.00749305,2820.73080536,21,0.00728038,2740.66419268
1722319200000,377248.24420000,377592.29310000,376472.69120000,377576.07530000,1722320100000,0.00344861,1301.21378210,19,0.00329570,1243.64734231
1722320100000,377576.07530000,377889.73700000,376736.00020000,377787.37720000,1722321000000,0.01193570,4506.87350917,17,0.01147189,4332.09371383
1722321000000,377787.37720000,377961.85250000,376887.91200000,377570.35020000,1722321900000,0.02738907,10327.89597039,10,0.00584289,2207.35761760
1722321900000,377570.35020000,377958.26970000,376890.59030000,377941.35210000,1722322800000,0.01452354,5484.87027204,13,0.01397597,5278.49614530
1722322800000,377941.35210000,378560.14950000,377448.70460000,378560.14950000,1722323700000,0.01783447,6747.59977326,16,0.01754503,6638.34895335
1722323700000,378560.14950000,379209.22170000,377807.00090000,379209.22170000,1722324600000,0.04413885,16725.79382477,8,0.04223683,16007.11343964
1722324600000,379209.22170000,379200.00000000,378391.55890000,379158.86700000,1722325500000,0.00277962,1053.92465854,4,0.00001036,3.92808586
1722325500000,379158.86700000,379293.69410000,378391.55010000,378694.35420000,1722326400000,0.00657170,2486.81241200,13,0.00017565,66.59072247
1722326400000,378694.35420000,379270.17520000,378353.69960000,378616.77100000,1722327300000,0.01729948,6553.13765998,24,0.01199107,4544.55405133
1722327300000,378616.77100000,378656.50360000,377674.03680000,378306.78770000,1722328200000,0.01586570,6003.16473484,25,0.00835534,3163.48353364
1722328200000,378306.78770000,378676.72130000,378000.00370000,378571.70840000,1722329100000,0.02012240,7612.48567680,18,0.00111580,422.41058431
1722329100000,378571.70840000,378887.19980000,378000.00000000,378178.59370000,1722330000000,0.03383893,12810.93451055,35,0.03255613,12325.83163921
1722330000000,378178.59370000,378621.86650000,378000.00010000,378344.63360000,1722330900000,0.00764568,2893.45484666,28,0.00513397,1943.44998530
1722330900000,378344.63360000,378571.70850000,378344.63350000,378571.70830000,1722331800000,0.01691301,6401.09449261,23,0.00945909,3580.94386135
1722331800000,378571.70830000,378609.55410000,376825.50050000,378179.76840000,1722332700000,0.02299074,8693.84724451,46,0.00475170,1798.38974678
1722332700000,378179.76840000,378171.05220000,376149.00310000,377507.50820000,1722333600000,0.03568059,13458.34807513,46,0.02254563,8513.16200072
1722333600000,377507.50820000,377757.60100000,375800.00000000,377176.90610000,1722334500000,0.02481126,9359.16608192,44,0.02261151,8532.23940380
1722334500000,377176.90610000,377360.75650000,375801.00240000,376611.33040000,1722335400000,0.02206896,8310.44651163,58,0.01316916,4964.04287751
1722335400000,376611.33040000,377730.86130000,376580.99430000,376882.34960000,1722336300000,0.01912142,7207.62903394,70,0.01310227,4940.66491465
1722336300000,376882.34960000,377755.99570000,376543.32550000,377755.99570000,1722337200000,0.04294971,16215.89948508,63,0.04024945,15198.48290525
1722337200000,377755.99570000,377789.99990000,376264.39410000,376580.99440000,1722338100000,0.14414314,54382.94111919,73,0.12403393,46812.10722599
1722338100000,376580.99440000,377785.25580000,376580.99440000,377606.99760000,1722339000000,0.06154638,23215.85662631,72,0.05348400,20179.61197044
1722339000000,377606.99760000,377785.25590000,376781.99950000,377785.25580000,1722339900000,0.04691636,17713.21375443,72,0.03807004,14379.41031901
1722339900000,377785.25580000,377785.25590000,376580.99450000,376718.19630000,1722340800000,0.02361128,8906.78813582,69,0.01734618,6545.27738802
1722340800000,376718.19630000,377320.37590000,376008.18670000,377300.30850000,1722341700000,0.03420841,12883.78317705,85,0.01582770,5966.55617190
1722341700000,377300.30850000,377159.68830000,375680.00000000,375937.26730000,1722342600000,0.29339436,110538.93688183,102,0.20639442,77831.46004013
1722342600000,375937.26730000,379303.48570000,375000.00090000,378044.87690000,1722343500000,0.23112773,87120.40353377,100,0.19605242,73942.46091894
