Open time,Open price,High,Low,Close price,Volume,Close time,Quote asset volume,Trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore."
1722380400000,374722.0,375075.0,374539.0,374866.0,0.16896,1722380699999,63347.40736,81,0.11526,43219.35394,0
1722380100000,374177.0,374730.0,374062.0,374730.0,0.10157,1722380399999,38028.90756,53,0.08342,31238.11068,0
1722378900000,374970.0,375374.0,374812.0,375187.0,0.1335,1722379199999,50090.85097,68,0.1032,38725.633,0
1722378600000,375305.0,375518.0,374905.0,375015.0,0.71481,1722378899999,268309.07081,81,0.47657,178927.27142,0
1722378300000,375178.0,375500.0,375035.0,375224.0,0.16302,1722378599999,61195.46947,80,0.08743,32818.82001,0
1722378000000,375134.0,375229.0,374614.0,375183.0,0.19063,1722378299999,71497.44466,78,0.13127,49232.32394,0
1722377700000,374882.0,375402.0,374882.0,375196.0,0.33379,1722377999999,125199.41777,135,0.12157,45597.58726,0
1722377400000,374855.0,375113.0,374542.0,375028.0,0.26922,1722377699999,100920.09708,90,0.18417,69037.2144,0
1722377100000,375332.0,375417.0,374513.0,374960.0,0.37027,1722377399999,138825.20015,116,0.26908,100884.61566,0
1722376800000,375030.0,375346.0,374698.0,375208.0,0.12287,1722377099999,46081.50005,95,0.02396,8988.95081,0
1722376500000,375000.0,375249.0,375000.0,375156.0,0.27196,1722376799999,102026.91046,86,0.13379,50195.94382,0
1722376200000,374519.0,375000.0,374361.0,375000.0,0.21296,1722376499999,79824.67696,77,0.207,77592.0423,0
